Sample_Number,Waypoint,Date_Sampled,Year,Prospect,Easting,Northing,Elevation_(m),UTM_Grid,QC_Category,Standard_Type,Rock_Type,Lithology,Regional Unit,Alteration,Min_1,Min_2,Min_3,Structure,Strike,Dip,Sample_Type,Occurrence,Description,Certificate,Certificate completed,Ag ppm Ag-OG62,Ag ppm ME-MS61,Al % ME-MS61,As ppm ME-MS61,Au ppm Au-AA24,Ba ppm ME-MS61,Be ppm ME-MS61,Bi ppm ME-MS61,Ca % ME-MS61,Cd ppm ME-MS61,Ce ppm ME-MS61,Co ppm ME-MS61,Cr ppm ME-MS61,Cs ppm ME-MS61,Cu % Cu-OG62,Cu ppm ME-MS61,"Digest_Run NA 
Pb-OG62","Digest_Seq NA 
Pb-OG62",Fe % ME-MS61,Ga ppm ME-MS61,Ge ppm ME-MS61,Hf ppm ME-MS61,In ppm ME-MS61,"Instr_Run NA 
Pb-OG62","Instr_Seq NA 
ME-ICP61i","Instr_Seq NA 
Pb-OG62",K % ME-MS61,La ppm ME-MS61,Li ppm ME-MS61,Mg % ME-MS61,Mn ppm ME-MS61,Mo ppm ME-MS61,Mo ppm ME-MS61 status,Na % ME-MS61,Nb ppm ME-MS61,Ni ppm ME-MS61,P ppm ME-MS61,Pass2mm % CRU-QC,Pass75um % PUL-QC,Pb % Pb-OG62,Pb ppm ME-MS61,Rb ppm ME-MS61,Re ppm ME-MS61,Recvd Wt. kg WEI-21,Rmnd2mm % CRU-QC,Rmnd75um % PUL-QC,S % ME-MS61,Sb ppm ME-MS61,Sc ppm ME-MS61,Se ppm ME-MS61,Sn ppm ME-MS61,Sr ppm ME-MS61,Ta ppm ME-MS61,Te ppm ME-MS61,Th ppm ME-MS61,Ti % ME-MS61,Tl ppm ME-MS61,U ppm ME-MS61,V ppm ME-MS61,W ppm ME-MS61,WT. + Frac Entire g CRU-QC,WT. + Frac Entire g PUL-QC,WT. - Frac Entire g CRU-QC,WT. - Frac Entire g PUL-QC,WT. SAMPLE g Ag-OG62,WT. SAMPLE g Au-AA24,WT. SAMPLE g Cu-OG62,WT. SAMPLE g ME-ICP61i,WT. SAMPLE g ME-MS61i,WT. SAMPLE g Pb-OG62,WT. SAMPLE g Zn-OG62,WT. Total g CRU-QC,WT. Total g PUL-QC,Y ppm ME-MS61,Zn % Zn-OG62,Zn ppm ME-MS61,Zr ppm ME-MS61
222143,222143,04/21/2023,2023,West,677400,5503125,1425,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,,,,Chip,Outcrop,"0.0 to 1.5 m. Rock chip series across bedrock exposed in 3 sumps excavated at the Axe west Zone. North edge. Mal and black stained diorite, strongly sericitized. Sampled East to West, at 235 degrees. Gaps in sample series are where overburden was not removed.",VA23110414EDIT,05/09/2023,,0.33,8.11,12.9,0.043,850,0.66,0.2,5.29,0.08,16.75,8.2,7,0.25,,770,,,3.27,20.2,0.05,0.8,0.145,,116,,1.23,6.8,4.9,1.42,1355,0.68,,3.9,2.1,4.6,2140,,,,4.3,10.1,0.003,3.16,,,0.05,6.79,12.8,2,0.7,810,0.11,0.18,1.48,0.307,0.11,0.4,131,1.7,,,,,,47.551,,0.244,0.244,,,,,15.6,,37,25.7
222144,,04/21/2023,2023,West,677398,5503124,1425,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,,,,Chip,Outcrop,"1.5 to 3.0 m. Malachite and neosotite stained broken and crushed diorite, strongly sericitized. Sump1",VA23110414EDIT,05/09/2023,,0.58,8.57,7.8,0.068,820,0.62,0.18,4.46,0.08,10.1,5.7,8,0.36,,1435,,,3.89,17.4,0.06,0.7,0.161,,117,,1.11,3.9,8.1,1.6,1450,0.62,,3.61,1.9,5.3,690,,,,2.7,15,0.002,3.34,,,0.1,5.92,14.3,2,0.7,722,0.11,0.14,0.96,0.306,0.1,0.3,152,1.5,,,,,,48.269,,0.217,0.217,,,,,11.9,,56,25
222145,,04/21/2023,2023,West,677394,5503121,1423,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"5.5 to 7.0 m. Malachite speckled crushed diorite, fault zone. No stretching of phenos or clasts, so just crushed.  Sump 2.",VA23110414EDIT,05/09/2023,,0.64,7.91,3,0.127,480,0.56,0.27,4.83,0.07,21.2,12.4,5,1.19,,2380,,,4.27,17.05,0.07,0.9,0.122,,118,,2.66,10.7,10.1,1.5,1450,1.23,,0.62,1.9,5.2,1050,,,,2.9,62.3,0.001,3.44,,,0.05,5.09,10.4,3,0.6,166.5,0.13,0.17,2.05,0.254,0.3,0.5,175,2.1,,,,,,47.651,,0.222,0.222,,,,,11.3,,68,29.4
222146,,04/21/2023,2023,West,677393,5503119,1421,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"7.0 to 8.5 m. 7.0 to 7.5 m is crushed fault zone. Solid diorite from 7.5 to 8.0 m. Mal common, lots of probable neosotite and/or manganese coating most surfaces. Sump 2.",VA23110414EDIT,05/09/2023,,0.53,7.84,2.8,0.066,410,0.55,0.3,4.73,0.07,20,7.7,4,1.35,,2360,,,4.19,16.8,0.07,1,0.159,,119,,2.76,9.5,9.3,1.29,1470,1.11,,0.42,2,4.6,960,,,,2.7,75,0.002,3.52,,,0.02,5.37,9.8,2,0.7,160.5,0.14,0.1,2.09,0.236,0.33,0.7,153,2.3,,,,,,50.577,,0.232,0.232,,,,,11.2,,73,33.9
222147,,04/21/2023,2023,West,677388,5503116,1420,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"12.0 to 13.5 m. 8.5 to 12.0 no outcrop exposed. Entire interval is crushed dioritic fault gouge with heavy malachite and moderate neosotite, with abundant clay-zeolite muck. Sumps basically cut the fault at a slight angle, and much of the fault is between sumps 2 and 3.",VA23110414EDIT,05/09/2023,,1.67,8.04,4.7,0.165,380,0.58,0.31,3.43,0.31,21.1,21.7,17,0.61,,5360,,,4.56,16.65,0.07,1.4,0.2,,120,,1.11,9.2,12.4,2.16,821,8.91,,2.86,1.9,11.6,1030,,,,5.2,24.6,0.012,2.34,,,0.15,2.71,22.5,4,2,279,0.13,0.58,1.28,0.4,0.13,1.4,227,1.9,,,,,,51.903,,0.231,0.231,,,,,14,,59,49.3
222148,,04/21/2023,2023,West,677386,5503115,1420,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"13.5 to 15.0 m. Entire interval is crushed dioritic fault gouge with heavy malachite and moderate neosotite, with abundant clay-zeolite muck. Some hard fragments of conglomerate or volcaniclastic with angular rhyolite clasts. Mineralization is weak in clastic rock.",VA23110414EDIT,05/09/2023,,0.47,7.91,2.6,0.048,250,0.53,0.07,3.05,0.23,21.3,16.2,17,0.38,,1195,,,6.12,15.2,0.05,1.5,0.076,,121,,0.74,10.2,10.7,1.91,814,2.68,,3.39,2.2,9.6,910,,,,6.5,19.9,0.004,2.48,,,0.02,2.57,23.4,1,1.7,254,0.15,0.08,1.1,0.517,0.09,1.5,230,1.7,,,,,,49.221,,0.231,0.231,,,,,15.8,,79,52.1
222149,222149,04/21/2023,2023,West,677384,5503113,1420,NAD83_U10,REG,,SVI,VCL,mTrNMsv,EP,,,,,,,Chip,Outcrop,"15.0 to 16.5 m. EOL. Becomes solid, volcaniclastic with diorite matrix, rhyolite and black clasts, hard, brittle. 3 bands of crushed rock with mal to 12 cm wide. Waypoint at end of sample, maximum west.",VA23110414EDIT,05/09/2023,,0.42,8.45,3.6,0.028,320,0.61,0.09,2.75,0.15,27.2,15.9,21,0.38,,964,,,6.35,17,0.07,1.5,0.07,,122,,0.82,13.4,9,1.91,885,2.96,,3.65,2.5,10.2,1000,,,,4.6,24.3,0.005,2.26,,,0.01,1.86,29.1,1,1.8,363,0.16,0.1,1.39,0.56,0.1,2.1,269,1.9,,,,,,51.848,,0.204,0.204,,,,,20.7,,67,56.1
222150,222150,04/21/2023,2023,,,,,NAD83_U10,Control,STD37,,,,,,,,,,,Control,Control,Standard. CM-37 (High grade),VA23110414EDIT,05/09/2023,,1.1,8.29,41.8,0.188,440,0.98,0.59,2.12,1.02,31.6,15.2,18,7.52,,2060,,,4.36,18.1,0.09,0.2,0.097,,123,,2.39,16.1,29.5,0.92,922,248,,1.55,5,10.7,710,,,,42.6,79.7,0.236,0.18,,,1.54,1.87,11.7,3,1.5,278,0.4,0.42,5.29,0.271,0.82,1.1,104,8.8,,,,,,48.437,,0.23,0.23,,,,,11.6,,232,5
222151,,07/03/2023,2023,Agie,692084,5513661,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,,,,,,,Chip,Outcrop,"8.0 to 10 .0 m. Sample book series jumps from 2222250 to 222151 here. Sericite to totally clay-altered granite with unaffected quartz phenocrysts. Green when highly oxidized, Mn-stained layer removed (10 cm thick). Increasingly Mn-stained northward over interval.",VA23193584,08/19/2023,,1.02,7.18,2.6,0.014,1120,1.39,0.93,0.15,1.52,45.6,1.9,27,6.79,,108.5,,,2.21,16.5,0.07,0.6,0.862,,129,,5.09,24,9.1,0.17,1315,1.77,,0.36,16.7,1.8,320,78.7,95.1,,130,255,0.001,3.16,21.3,4.9,0.05,2.74,3.5,1,1.6,64.1,0.95,0.025,18.5,0.154,2.46,3.1,22,3.6,52,0.5,192,9.7,,47.017,,0.223,0.223,,,244,10.2,11.5,,658,16.4
222152,,07/03/2023,2023,Agie,692084,5513663,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,HEM,PY,,,,,Chip,Outcrop,10.0 to 12.0 m.Clay-sericite altered MLJNgg (granite). Hematite to Mn-stained. Green unweathered areas with limonite patches. Sparse aplite-qtz stringers thoughout interval. Green alteration is chlorite-sericite combination.,VA23193584,08/19/2023,,6.2,7.1,3.3,0.005,1300,1.46,0.98,0.17,1.39,37.5,1.9,13,5.36,,329,,,2.56,14.65,0.08,0.4,1.63,,130,,5.01,20.5,10.3,0.15,1400,1.9,,0.39,13.5,1.1,300,,95.1,,224,239,0.001,2.72,,4.9,0.05,3.32,2.2,1,1.2,69.1,0.78,0.025,14.35,0.122,2.44,2.9,17,4.6,,0.5,,9.7,,47.862,,0.215,0.215,,,,10.2,9.1,,822,10.6
222153,,07/03/2023,2023,Agie,692085,5513665,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,CP,SP,GL,,,,Chip,Outcrop,"12.0 to 14.0 m. Sericite-clay-Mn altered granite to 12.8 m, then several aplite (or rhyolite) veins 5 to 12 cm wide, one with 2% chalcopyrite at 12.8 m, with limonite-hematite oxidized edge. Granite becomes more competent, more coarse grained at 14.0. May be contact with MLJNgg.tm unit (very coarse grain Kspar megaporphyry granite, Kspars 3 to 8 cm common).",VA23193584,08/19/2023,,40.6,6.12,4.7,0.042,730,1.56,41.4,0.12,5.39,45.9,2.3,14,5.7,,2580,,,3.58,13.05,0.08,0.4,2.68,,131,,3.8,25.4,19.3,0.12,2040,2.13,,0.09,11.2,1.4,290,,,,2590,189.5,0.001,4.22,,,0.32,6.01,2.1,1,1.1,38.6,0.58,0.025,16,0.108,2.23,3.9,17,6.9,,,,,,47.947,,0.241,0.241,,,,,9.3,,1935,10.2
222154,222254,07/13/2023,2023,North,677584,5504080,1426,NAD83_U10,REG,,SED,LMST,uTrNIsl,SIL,SP,GL,,Bedding,25,90,Grab,Outcrop,"Silicified limestone with mixed sphalerite and galena stringers, small blobs, and in wispy bands of fine disseminated sulphides. Some poarts are nearly pure quartz now, rhyolite-like but remnant enclaves and areas along the outcrop are still limestone. Best mineraliztion seems to be near the limestone contact edges. Limestone here is about 2 m thick, and seems to be part of a dismembered limestone unit. Host uTrNEscp has some scattered sphalerite at south contact.",VA23258609,10/10/2023,,11.4,1.43,8.3,0.777,820,0.47,0.01,8.2,135.5,22.1,8.3,30,0.28,,201,,,2.7,5.47,0.06,0.4,0.012,,65,,0.64,14.4,2.8,3.24,12150,4.01,,0.06,0.5,3.7,1500,87.5,,,6810,13,0.008,2.34,12.5,,0.46,6.08,4.9,2,0.1,103,0.025,0.025,0.26,0.08,0.08,3.9,105,0.2,34,,237.9,,,48.604,0.4261,0.239,0.239,,0.4261,271.9,,14,1.5,10000,14.2
222155,222255,07/22/2023,2023,,684144,5502911,1426,NAD83_U10,REG,,SVI,VCL,mJSsv,PRO,CP,,,,,,Grab,Subcrop,"Road blast rock, possible outcrop in road. Epidote veined probable MJSvs (Skwel Pekken, circa 163 Ma) volcaniclastic-tuff unit. Epidote-Kspar veins to 10 cm, more commonly 2-3 cm wide sometimes host centreline chalcopyrite veins to 3 mm thick, in various angles. Many epidote eveins in adjacent outcrop and subcrop, but more Ccp was not found. Similar to occurrence 100m north along road.",VA23258609,10/10/2023,,2.08,8.14,2.6,0.08,2170,1.14,22.8,4.1,0.46,33.7,13.9,12,5.43,,863,,,5.51,18.2,0.1,1.4,0.088,,66,,2.57,15.3,11,1.14,2740,1.41,,2.16,6.2,2.9,1430,,,,46.7,91.9,0.001,2.28,,,0.05,2.79,16,3,0.8,533,0.41,1.1,4.04,0.545,1.16,1.8,78,2.1,,,,,,48.591,,0.214,0.214,,,,,20.4,,151,46.6
222156,222156,08/12/2023,2023,East,687741,5503998,1329,NAD83_U10,REG,,INT,APLT,MLJNgg.tm,PRO,MAL,,,,,,Grab,Float,"Very angular, rectangular slab of quartz vein or aplite, pure white, with biotite-chlorite lined fractures or altered mafic schlieren bleeding malachite. 12 cm thick (if vein, following fractures), by 15 cm long and 12 cm wide. Seems to be massive white feldspar more than quartz, possibly from a pegmatite phase of the granite. The 'vein' is almost certainly MLJNgg-related, however all aplite noted in area (fairly common) is pink and barren. A search of the immediate area turned up no further similar vein float. Alteration of the megacrystic granite (and local two-feldspar megacrystic syenite) in this area is almost non-existent. Mostly interested to see if any gold occurs in this sample.",VA23258609,10/10/2023,,15.15,0.36,1,0.016,30,0.39,17.8,0.07,24.4,2.43,2.3,66,0.37,,1585,,,0.67,1.15,0.025,0.05,0.388,,67,,0.14,1.4,36.1,0.07,234,15.7,,0.01,0.3,1.6,40,,,,1260,20.9,0.001,0.9,,,0.15,3.56,0.4,1,0.7,4.1,0.025,0.17,0.3,0.008,0.09,2.6,16,1.6,,,,,,48.851,,0.223,0.223,,,,,1.6,,2360,0.7
222157,222157,08/17/2023,2023,East,685594,5500454,1373,NAD83_U10,REG,,INT,GND,MLJNgg,GEI,,,,,,,Grab,Subcrop,"Boulders, 0.2 m to 0.3 m, angular, apparently excavated while road building crossing over fault zone. Strong mucovite and chlorite alteration of granite feldspars, greasy pale green-yellow crystals, possibly fluorite. Very potassic based on XRF tests (7.5 % K2O, 250-750 ppm Rb))",VA23258609,10/10/2023,,0.07,6.77,1,0.0025,970,1.87,0.22,0.78,0.28,54.2,2.2,24,4.7,,14.4,,,1.93,14.05,0.07,1.3,0.16,,68,,4.05,33.4,12.7,0.18,841,2.61,,1.47,12,1.3,280,,,,8.6,234,0.001,2.14,,,0.01,0.6,1.9,2,1.2,62.5,0.94,0.025,19.3,0.092,1.3,5,16,6.7,,,,,,48.099,,0.225,0.225,,,,,11.4,,49,37.1
222158,222158,08/25/2023,2023,1516,681089,5502659,1292,NAD83_U10,REG,,INT,DIO,LTrCmz,HRNF,CP,PY,,,,,Grab,Subcrop,"Subcrop at contact of EJWgg with LTrCmz (or maybe Nicola conglomerate) breccia with biotite-actinolite hornfels and epidote. Chalcopyrite in fractures and disseminated as dust sized grains near the contact, in the host rock. Intrusive is barren, contact sharp (as seen in subcrop). Disseminated pyrite 1 to 5 %, concentrated nearer the contact area 2 to 3 m wide.",VA23258609,10/10/2023,,9.03,7.39,8.4,0.061,1410,0.74,0.67,5.86,0.58,15.45,35.1,47,1.65,1.01,10000,,,7.58,15.95,0.1,0.8,0.148,,69,,2.52,6.3,10.3,2.95,1445,1.84,,1.98,1.7,17.1,1550,,,,7.4,42.7,0.002,1.86,,,1.03,2.02,41.5,6,1,698,0.1,0.46,1.03,0.498,0.32,0.6,335,1,,,,,,50.489,0.4176,0.232,0.232,,0.4176,,,17,,139,20.3
222159,222159,09/09/2023,2023,Comet,682990,5497099,1287,NAD83_U10,REG,,SVI,RHY,lKSPvr,SKN,CP,SP,PY,,,,Grab,Outcrop,"Outcrop in road ditch. Rhyolite breccia with wine-maroon irridescent sphalerite in (mostly) angular fracture fills and also stockwork, 3 mm to 6 mm wide. Patches of disseminated chalcopyrite locally, but rare. Malachite on fresh breaks seems associated with pyrite, which is up to 1 % mostly finely disseminated. Several rotted-out veins to 3 m wide also occur, which are anomalous to strongly mineralized by Cu, Zn, W, Bi, Cd by XREF. The matrix is very high in tungsten (1500-5000 ppm) especially where dark.",VA23258609,10/10/2023,,13.85,8.05,2,0.066,2850,2.04,52.2,3.86,146.5,29.3,5,4,6.13,,795,,,3.36,26.8,0.08,2,15.8,,70,,4.68,12.1,24.2,0.31,10250,3.02,,0.67,16.6,0.5,250,,,,63,283,0.003,2.34,,,1.15,2.72,3.2,5,1.9,151.5,1.14,2.04,7.01,0.111,2.72,2.7,44,2.1,,,,,,49.148,0.4061,0.209,0.209,,0.4061,,,19,2.87,10000,63.3
222160,,,2023,,,,,NAD83_U10,Control,BLK-SiO2,,,,,,,,,,,Control,Control,"Blank, SiO2.",VA23258609,10/10/2023,,0.11,0.19,1,0.0025,20,0.07,0.15,0.04,0.26,3.54,0.5,44,0.12,,36.8,,,0.35,0.46,0.025,0.6,0.033,,71,,0.06,1.8,4.8,0.02,58,3.23,,0.04,0.4,1.3,20,,,,2.5,2.5,0.001,0.72,,,0.01,0.19,0.4,1,0.1,3.6,0.025,0.025,0.86,0.011,0.02,0.3,3,0.1,,,,,,49.356,,0.243,0.243,,,,,1.2,,47,17.4
222161,222161,09/09/2023,2023,Comet,682990,5497108,1290,NAD83_U10,REG,,SVI,RHY,lKSPvr,,CP,SP,PY,,,,Grab,Subcrop,"Float boulder, angular, 0.3 m, local to area, displaced subcrop. Rhyolite with 1.2 cm wide quartz-chalcopyrite-pyrite vein plus pure chalcopyrite veinlets to 3 mm cross-cutting entire boulder. Disseminated fine grains of sphalerite also, some of which is amber and transparent, resembling titanite, and some other which is marroon. The larger vein is similar in envelope to the rotten veins a few m south. ",VA23258609,10/10/2023,,10.25,6.42,1.9,0.035,1750,1.53,15.6,0.86,53,51.7,6.3,14,3.56,,1400,,,2.99,14.35,0.09,2.1,1.935,,72,,2.05,27.3,11.2,0.18,2500,2,,2.17,15.4,0.8,140,,,,22.9,118,0.001,1.98,,,0.25,1.48,4.5,3,1.6,139.5,1.01,0.46,13.05,0.101,1.28,3.6,30,1.6,,,,,,48.316,,0.205,0.205,,,,,20,,8310,68.1
